127.0.0.1 - admin [01/Dec/2022:19:08:58 -0600] "PUT /manager/text/deploy?path=%2Fwebapp&update=true HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [01/Dec/2022:19:12:51 -0600] "GET /manager/text/deploy?path=%2Fwebapp&update=true HTTP/1.1" 401 2562
0:0:0:0:0:0:0:1 - admin [01/Dec/2022:19:12:56 -0600] "GET /manager/text/deploy?path=%2Fwebapp&update=true HTTP/1.1" 200 82
0:0:0:0:0:0:0:1 - - [01/Dec/2022:19:12:56 -0600] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [01/Dec/2022:19:13:29 -0600] "GET /webapp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Dec/2022:19:13:29 -0600] "GET /webapp/ HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [01/Dec/2022:19:16:16 -0600] "GET /manager/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Dec/2022:19:16:16 -0600] "GET /manager/html HTTP/1.1" 401 2562
0:0:0:0:0:0:0:1 - admin [01/Dec/2022:19:16:16 -0600] "GET /manager/html HTTP/1.1" 200 18500
0:0:0:0:0:0:0:1 - - [01/Dec/2022:19:16:16 -0600] "GET /manager/images/tomcat.svg HTTP/1.1" 200 68761
0:0:0:0:0:0:0:1 - - [01/Dec/2022:19:16:16 -0600] "GET /manager/css/manager.css HTTP/1.1" 200 2946
0:0:0:0:0:0:0:1 - - [01/Dec/2022:19:16:16 -0600] "GET /manager/images/asf-logo.svg HTTP/1.1" 200 20712
