07-Dec-2022 11:52:54.036 INFORMACIÓN [http-nio-8080-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: init: Associated with Deployer 'Catalina:type=Deployer,host=localhost'
07-Dec-2022 11:52:54.036 INFORMACIÓN [http-nio-8080-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: init: Global resources are available
07-Dec-2022 11:52:54.050 INFORMACIÓN [http-nio-8080-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-cookie'
07-Dec-2022 11:52:54.051 INFORMACIÓN [http-nio-8080-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\w10\Documents\Learning\intellijCourseJakarta\JavaEE\apache-tomcat-10.0.16\webapps\webapp-cookie.war.tmp
07-Dec-2022 11:55:30.030 INFORMACIÓN [http-nio-8080-exec-11] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-cookie'
07-Dec-2022 11:55:30.030 INFORMACIÓN [http-nio-8080-exec-11] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\w10\Documents\Learning\intellijCourseJakarta\JavaEE\apache-tomcat-10.0.16\webapps\webapp-cookie.war.tmp
07-Dec-2022 11:58:31.755 INFORMACIÓN [http-nio-8080-exec-19] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-cookie'
07-Dec-2022 11:58:31.755 INFORMACIÓN [http-nio-8080-exec-19] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\w10\Documents\Learning\intellijCourseJakarta\JavaEE\apache-tomcat-10.0.16\webapps\webapp-cookie.war.tmp
07-Dec-2022 12:00:47.704 INFORMACIÓN [http-nio-8080-exec-28] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-cookie'
07-Dec-2022 12:00:47.705 INFORMACIÓN [http-nio-8080-exec-28] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\w10\Documents\Learning\intellijCourseJakarta\JavaEE\apache-tomcat-10.0.16\webapps\webapp-cookie.war.tmp
07-Dec-2022 12:13:05.951 INFORMACIÓN [http-nio-8080-exec-32] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-cookie'
07-Dec-2022 12:13:05.952 INFORMACIÓN [http-nio-8080-exec-32] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\w10\Documents\Learning\intellijCourseJakarta\JavaEE\apache-tomcat-10.0.16\webapps\webapp-cookie.war.tmp
07-Dec-2022 12:26:00.148 INFORMACIÓN [http-nio-8080-exec-49] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-cookie'
07-Dec-2022 12:26:00.148 INFORMACIÓN [http-nio-8080-exec-49] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\w10\Documents\Learning\intellijCourseJakarta\JavaEE\apache-tomcat-10.0.16\webapps\webapp-cookie.war.tmp
07-Dec-2022 12:26:29.089 INFORMACIÓN [http-nio-8080-exec-45] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-cookie'
07-Dec-2022 12:26:29.089 INFORMACIÓN [http-nio-8080-exec-45] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\w10\Documents\Learning\intellijCourseJakarta\JavaEE\apache-tomcat-10.0.16\webapps\webapp-cookie.war.tmp
07-Dec-2022 12:26:44.048 INFORMACIÓN [http-nio-8080-exec-42] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-cookie'
07-Dec-2022 12:26:44.048 INFORMACIÓN [http-nio-8080-exec-42] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\w10\Documents\Learning\intellijCourseJakarta\JavaEE\apache-tomcat-10.0.16\webapps\webapp-cookie.war.tmp
07-Dec-2022 12:39:58.586 INFORMACIÓN [http-nio-8080-exec-63] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-cookie'
07-Dec-2022 12:39:58.586 INFORMACIÓN [http-nio-8080-exec-63] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\w10\Documents\Learning\intellijCourseJakarta\JavaEE\apache-tomcat-10.0.16\webapps\webapp-cookie.war.tmp
07-Dec-2022 12:59:01.412 INFORMACIÓN [http-nio-8080-exec-69] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-cookie'
07-Dec-2022 12:59:01.413 INFORMACIÓN [http-nio-8080-exec-69] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\w10\Documents\Learning\intellijCourseJakarta\JavaEE\apache-tomcat-10.0.16\webapps\webapp-cookie.war.tmp
07-Dec-2022 16:15:09.770 INFORMACIÓN [http-nio-8080-exec-83] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-cookie'
